CRASH_UNIT_ID,CRASH_RECORD_ID,CRASH_DATE,UNIT_NO,UNIT_TYPE,NUM_PASSENGERS,VEHICLE_ID,CMRC_VEH_I,MAKE,MODEL,LIC_PLATE_STATE,VEHICLE_YEAR,VEHICLE_DEFECT,VEHICLE_TYPE,VEHICLE_USE,TRAVEL_DIRECTION,MANEUVER,TOWED_I,FIRE_I,OCCUPANT_CNT,EXCEED_SPEED_LIMIT_I,TOWED_BY,TOWED_TO,AREA_00_I,AREA_01_I,AREA_02_I,AREA_03_I,AREA_04_I,AREA_05_I,AREA_06_I,AREA_07_I,AREA_08_I,AREA_09_I,AREA_10_I,AREA_11_I,AREA_12_I,AREA_99_I,FIRST_CONTACT_POINT,CMV_ID,USDOT_NO,CCMC_NO,ILCC_NO,COMMERCIAL_SRC,GVWR,CARRIER_NAME,CARRIER_STATE,CARRIER_CITY,HAZMAT_PLACARDS_I,HAZMAT_NAME,UN_NO,HAZMAT_PRESENT_I,HAZMAT_REPORT_I,HAZMAT_REPORT_NO,MCS_REPORT_I,MCS_REPORT_NO,HAZMAT_VIO_CAUSE_CRASH_I,MCS_VIO_CAUSE_CRASH_I,IDOT_PERMIT_NO,WIDE_LOAD_I,TRAILER1_WIDTH,TRAILER2_WIDTH,TRAILER1_LENGTH,TRAILER2_LENGTH,TOTAL_VEHICLE_LENGTH,AXLE_CNT,VEHICLE_CONFIG,CARGO_BODY_TYPE,LOAD_TYPE,HAZMAT_OUT_OF_SERVICE_I,MCS_OUT_OF_SERVICE_I,HAZMAT_CLASS
1140414,d2fa9175fa6163226aa289bedbc5a803dc4e5c0d1cbfb85774a87b7006b3a846ba855f1186fe0c4f7069533562de26dde1e40339446654483dd7d876a17377c8,07/05/2021 08:30:00 PM,1,DRIVER,,1081721,,JAGUAR,OTHER (EXPLAIN IN NARRATIVE),IL,2017,UNKNOWN,PASSENGER,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,,Y,,,,,,,,,,,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131344,aa99f7c5e52e80cda4fb7005cdfff892a29880fe35e6b27fe7ae891c336e88bff7434ade6f30a7f82fef9e22adc742ff0dd41be04819f8ff876a5a7dc9798704,07/02/2021 03:37:00 PM,1,DRIVER,,1073164,,VOLKSWAGEN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,PASSENGER,UNKNOWN/NA,N,UNKNOWN/NA,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131345,aa99f7c5e52e80cda4fb7005cdfff892a29880fe35e6b27fe7ae891c336e88bff7434ade6f30a7f82fef9e22adc742ff0dd41be04819f8ff876a5a7dc9798704,07/02/2021 03:37:00 PM,2,DRIVER,,1073173,Y,FREIGHTLINER CORPORATION,FREIGHTLINER CORP.,IL,2007,UNKNOWN,TRUCK - SINGLE UNIT,COMMERCIAL - SINGLE UNIT,N,OTHER,,,1,,,,,,,,,,,,Y,Y,,,,,SIDE-LEFT,12456,,,,DRIVER,2,FEDEX GROUND,IL,CHICAGO,,,,N,N,,N,,N,N,,,,,,,,,TRUCK/TRAILER,OTHER,UNKNOWN,N,N,
1135268,f4b4952b24e90de17b72b700c78c3ee6f262d3360c7b1b0396fd85eb3590e608d1bc1bc95bf033de6dde6c9d654ece0490cffc46badeb67401ac5a4de5d35304,07/01/2021 08:00:00 AM,1,DRIVER,,1076820,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,UNKNOWN,UNKNOWN/NA,,,1,,,,,,,,,,,,,,,,,Y,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135269,f4b4952b24e90de17b72b700c78c3ee6f262d3360c7b1b0396fd85eb3590e608d1bc1bc95bf033de6dde6c9d654ece0490cffc46badeb67401ac5a4de5d35304,07/01/2021 08:00:00 AM,2,PARKED,,1076840,,HONDA,CR-V,IL,2017,NONE,PASSENGER,NOT IN USE,N,PARKED,,,0,,,,,,,,,,,Y,Y,Y,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129744,bb5ac20a7ed698f040f57e95767ba7c7bada41bdb2a733d9329de297fc56850ae8674eace3fabbf011dc6e17d1028fbf6eb700c25a96782279c0788c79ae3c4b,06/30/2021 02:45:00 PM,1,DRIVER,,1071650,,SAGE MANUFACTURING COMPANY,SAGE MFG. CO.,IN,,NONE,OTHER,PERSONAL,W,STRAIGHT AHEAD,,,1,,,,,,,,,,,,,,,,,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129745,bb5ac20a7ed698f040f57e95767ba7c7bada41bdb2a733d9329de297fc56850ae8674eace3fabbf011dc6e17d1028fbf6eb700c25a96782279c0788c79ae3c4b,06/30/2021 02:45:00 PM,2,DRIVER,2,1071660,,FORD,FIVE HUNDRED,IL,2005,NONE,PASSENGER,PERSONAL,W,SLOW/STOP IN TRAFFIC,,,3,,,,,,,,,,Y,Y,,,,,,,REAR-LEFT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129053,4da74458ec718acfd59ca38a2ff3654561ada560f8a58911702e40fd308178d13076e67db78397579a284b7006c370160c35e5d9f672a1ed9008afc711d7f846,06/29/2021 03:28:00 PM,1,DRIVER,,1070988,,HONDA,ODYSSEY,IL,2007,UNKNOWN,VAN/MINI-VAN,PERSONAL,N,STRAIGHT AHEAD,,,1,,,,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129054,4da74458ec718acfd59ca38a2ff3654561ada560f8a58911702e40fd308178d13076e67db78397579a284b7006c370160c35e5d9f672a1ed9008afc711d7f846,06/29/2021 03:28:00 PM,2,DRIVER,3,1070994,,TOYOTA,CAMRY,IL,2013,UNKNOWN,PASSENGER,TAXI/FOR HIRE,W,STRAIGHT AHEAD,,,4,,,,,,,,,,,,Y,Y,Y,Y,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128889,955f1904ba1e9a2e847e189c3b7007a04b3aede07973f4632debee065e13ba60d9e5f99310b61dbeeb919f95eb25f8006d5a44294223e41e9f2fbc584f74da6a,06/29/2021 11:57:00 AM,1,DRIVER,,1070836,,SUBARU,FORESTER,IL,2008,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,N,TURNING LEFT,Y,,1,,private,unknown,,Y,,,,,,,,,,Y,Y,,FRONT-RIGHT-CORNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128890,955f1904ba1e9a2e847e189c3b7007a04b3aede07973f4632debee065e13ba60d9e5f99310b61dbeeb919f95eb25f8006d5a44294223e41e9f2fbc584f74da6a,06/29/2021 11:57:00 AM,2,DRIVER,,1070846,,MITSUBISHI,MIRAGE,IL,2015,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,Y,,1,,private,unknown,,Y,,,,,,,,,,Y,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128559,bd6b879916b3de42dae0ffea9cba5cd3946b700436249a792f3f14eeca8f6d65e212cd07456e91a8e4c2d09a65288a9035696e471f37e2cc9f7d1cf695fc1352,06/28/2021 02:36:00 PM,1,DRIVER,,1070522,,UNKNOWN,MOTORIZED,,,UNKNOWN,UNKNOWN/NA,PERSONAL,UNKNOWN,TURNING LEFT,,,1,,,,,,,,,,,,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128560,bd6b879916b3de42dae0ffea9cba5cd3946b700436249a792f3f14eeca8f6d65e212cd07456e91a8e4c2d09a65288a9035696e471f37e2cc9f7d1cf695fc1352,06/28/2021 02:36:00 PM,2,PARKED,,1070526,,TOYOTA,RAV4,IL,,NONE,PASSENGER,PERSONAL,UNKNOWN,PARKED,,,0,,,,,,,,,,,Y,Y,,,,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126069,ef6787faab6c52093f96a971b70038100b1fa07f3b7b470928af2a555872236e3843403f2ab5dcc2879d120652ddc8e570dfbeff6871f94fb5937941483e7e81,06/25/2021 11:56:00 AM,1,DRIVER,,1068110,,MERCURY,TOPAZ,,1993,UNKNOWN,PASSENGER,UNKNOWN/NA,S,SKIDDING/CONTROL LOSS,,,1,,,,,,,,,,,,,,,,Y,,FRONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126070,ef6787faab6c52093f96a971b70038100b1fa07f3b7b470928af2a555872236e3843403f2ab5dcc2879d120652ddc8e570dfbeff6871f94fb5937941483e7e81,06/25/2021 11:56:00 AM,2,DRIVER,,1068114,,GENERAL MOTORS CORPORATION (GMC),YUKON,,,UNKNOWN,PASSENGER,UNKNOWN/NA,S,SLOW/STOP IN TRAFFIC,,,1,,,,,,,,,,Y,,,,,,,,REAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125844,c0dc1eec51392ef6363ff629d99654de6c32de0daa0cd6f996b43ae121b7e773a48b9beb517482fb5fb7009f936af651480669bdbff1c3446c86226e8a95aa69,06/23/2021 07:00:00 PM,1,DRIVER,1,1067916,,CHEVROLET,IMPALA,IL,2008,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,Y,,2,,,,,Y,Y,Y,Y,,,,,,,,,,SIDE-RIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125845,c0dc1eec51392ef6363ff629d99654de6c32de0daa0cd6f996b43ae121b7e773a48b9beb517482fb5fb7009f936af651480669bdbff1c3446c86226e8a95aa69,06/23/2021 07:00:00 PM,2,PARKED,,1067918,,NISSAN,MAXIMA,IL,2010,NONE,PASSENGER,PERSONAL,W,PARKED,,,0,,,,,,,,,,,Y,Y,Y,Y,Y,,,SIDE-LEFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
